title;description;href;vol_price;volume;price;strike;price_1;discount;discount_1
Спецпредложение #1;Набор из 5 пакетов кофе Табера (Санта Круз, Севилья, Валенсия, Барселона, Толедо) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-5-po-tsene-4/#title;5 по 200 гр. (1 350 руб. );200;1350;0;6750,0;1147,5;5737,5
Спецпредложение #1;Набор из 5 пакетов кофе Табера (Санта Круз, Севилья, Валенсия, Барселона, Толедо) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-5-po-tsene-4/#title;5 по 500 гр. (2 900 руб. );500;2900;0;5800,0;2465,0;4930,0
Спецпредложение #1;Набор из 5 пакетов кофе Табера (Санта Круз, Севилья, Валенсия, Барселона, Толедо) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-5-po-tsene-4/#title;5 по 1 кг. (5 400 руб. );1000;5400;0;5400,0;4590,0;4590,0
Спецпредложение #2;Набор из 5 пакетов кофе Табера (Пура Вида, Вильфредо, Перу, Колумбия Супремо, Индия Робуста Пачмент) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-2/#title;5 по 200 гр. (1 350 руб. );200;1350;0;6750,0;1147,5;5737,5
Спецпредложение #2;Набор из 5 пакетов кофе Табера (Пура Вида, Вильфредо, Перу, Колумбия Супремо, Индия Робуста Пачмент) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-2/#title;5 по 500 гр. (3 105 руб. );500;3105;0;6210,0;2639,25;5278,5
Спецпредложение #2;Набор из 5 пакетов кофе Табера (Пура Вида, Вильфредо, Перу, Колумбия Супремо, Индия Робуста Пачмент) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-2/#title;5 по 1 кг. (5 850 руб. );1000;5850;0;5850,0;4972,5;4972,5
Спецпредложение #3;Набор из 5 пакетов кофе Табера (Аликанте, Эфиопия Иргачеффе гр.4, Сарагоса, Бразилия Сантос, Гондурас Сан-Маркос) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-3/#title;5 по 200 гр. (1 350 руб. );200;1350;0;6750,0;1147,5;5737,5
Спецпредложение #3;Набор из 5 пакетов кофе Табера (Аликанте, Эфиопия Иргачеффе гр.4, Сарагоса, Бразилия Сантос, Гондурас Сан-Маркос) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-3/#title;5 по 500 гр. (3 150 руб. );500;3150;0;6300,0;2677,5;5355,0
Спецпредложение #3;Набор из 5 пакетов кофе Табера (Аликанте, Эфиопия Иргачеффе гр.4, Сарагоса, Бразилия Сантос, Гондурас Сан-Маркос) со скидкой;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/spetsialnoe-predlozhenie-3/#title;5 по 1 кг. (6 000 руб. );1000;6000;0;6000,0;5100,0;5100,0
Пура Вида Илюминада;Состав: смесь трех арабик из Гватемалы, Коста-Рики и Колумбии;https://www.taberacoffee.ru/catalog/svezheobzharennyy-kofe/pura-vida-ilyuminada/#title;200 гр. (500 руб. );200;500;0;2500,0;425,0;2125,0
